college,collegeAbbreviation,department,departmentAbbreviation,program
College of Arts and Letters,AL,Art,ART,Art BA
College of Arts and Letters,AL,Art,ART,Art MA
College of Arts and Letters,AL,Art,ART,Art MFA
College of Arts and Letters,AL,Modern Languages and Literatures,ML,Chinese BA
College of Arts and Letters,AL,Communication Studies,COMS,Communication Studies BA
College of Arts and Letters,AL,Communication Studies,COMS,Communication Studies MA
